Year,Month,Day,0830-0900,0900-1000,1000-1100,1100-1200,1200-1300,1300-1400,1400-1500,1500-1600,1600-1700,1700-1800,1800-1900,1900-2000,2000-2100,2100-2200,2200-2300,2300-2400,0000-0100,0100-0200,0200-0300,0300-0400,0400-0500,0500-0600,0600-0700,0700-0800,0800-0830,Daily,ROB Total
2023,May,10,0,0,0,0,1.5,1.1,1.5,0,1.1,0,3.5,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
2023,May,11,0,0,0,2.1,8.5,1.5,2.3,0.8,2.4,3.6,0.9,0,0,0,0.2,0,1.7,0,2.9,0.3,0.1,0.1,0,0.1,0,27.5,27.3
2023,May,12,0,Tr,0.2,0,0,Tr,0,0,0,1.7,0,0,0,0,1.3,0.4,8,1,2,0.4,0.3,22,2.4,8.3,0,48,48
2023,May,13,0,0,6.3,0.1,0.5,0,0.1,0,0,0,0,0,0,0,0.2,0,0.3,0.7,0.1,0.1,0,2.4,0.7,1,0.2,12.7,12.7
2023,May,14,0,0,1,1.9,0,0.1,2.1,0,0,0,2.6,0,0.1,0.1,0.2,0,0,1.2,0,0,0.1,0,1.6,0,0,11,11.3
2023,May,15,0,Tr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tr,Tr
2023,May,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,May,17,0,0,0,0,0,0,0,46,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.6,46.6
2023,May,18,0,0,0,0,0,0,0,0,xx,xx,xx,xx,xx,0,0,0,0,0,0,0,0,0,0,0,0,xx,30.8
2023,May,19,0,0.4,0,0,0,Tr,0.1,0,0.7,9.3,6.2,0,1.7,0.2,0,0,0,0,0,0,0,0,0,0,0,18.6,18.2
2023,May,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0.7,1.3,0,3.1,2.9
2023,May,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,May,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,May,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tr
2023,May,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,May,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,May,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tr
2023,May,27,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.1,0,0,0,0.9,1.1
